Model,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms)
cifar10_densenet40_k12_sync_optMomentum,2,23.9731,121.4325,120.3616,15.95977778,130.2569,53729
cifar10_densenet40_k12_sync_optRmsprop,1,23.1388,137.9327,151.6069,3.530666667,153.8187,56462
cifar10_densenet40_k12_sync_optRmsprop,2,20.3476,123.2733,125.2112,24.67677778,132.8188,56461
cifar10_densenet40_k12_sync_use_fp16,1,31.0486,97.2788,151.4891,3.844,152.9776,52317
cifar10_densenet40_k12_sync_use_fp16,2,28.3512,105.5036,138.8311,17.37822222,143.3179,52357
cifar10_densenet40_k12_sync_winograd,1,26.9545,91.2994,130.5115,3.010888889,131.9912,20909
cifar10_densenet40_k12_sync_winograd,2,21.5824,85.6381,113.242,21.224,124.3422,20943
cifar10_densenet40_k12_sync_xla,1,22.6264,107.6269,149.7417,2.896333333,151.2746,51352
cifar10_densenet40_k12_sync_xla,2,24.1934,102.0443,129.4995,22.781,138.1431,51297
cifar10_resnet110_async_batch128,1,56.7555,212.0139,290.6566,4.065666667,292.7206,34286
cifar10_resnet110_async_batch128,2,42.3673,212.3405,257.9873,13.768,265.8866,34228
cifar10_resnet110_async_batch256,1,47.7052,201.5074,263.676,3.857111111,265.7421,33869
cifar10_resnet110_async_batch256,2,51.33,228.9013,261.5458,47.45688889,302.0767,33755
cifar10_resnet110_async_batch32,1,51.5539,174.7468,242.1036,6.745888889,245.6506,63207
cifar10_resnet110_async_batch32,2,38.8118,209.675,240.6989,32.51122222,265.7324,63146
cifar10_resnet110_async_batch512,1,54.7394,290.7183,356.1394,6.404111111,360.5582,66358
cifar10_resnet110_async_batch512,2,52.2384,327.0391,266.9923,144.9867778,403.7083,66352
cifar10_resnet110_async_batch64,1,47.587,195.1782,264.9674,3.969111111,267.0759,63045
cifar10_resnet110_async_batch64,2,62.2076,223.6693,291.5307,16.17222222,302.4201,63037
cifar10_resnet110_async_dataFormat,1,47.472,169.2446,230.339,5.148333333,232.5542,33328
cifar10_resnet110_async_dataFormat,2,44.6346,195.9307,262.7619,15.30366667,272.3725,33092
cifar10_resnet110_async_optMomentum,1,45.4143,242.0491,259.6329,5.136444444,260.8917,69016
cifar10_resnet110_async_optMomentum,2,55.0451,271.7078,291.7832,15.91722222,301.0427,69014
cifar10_resnet110_async_optRmsprop,1,46.6092,248.8646,264.4994,5.822666667,266.309,73741
cifar10_resnet110_async_optRmsprop,2,40.8791,250.2717,258.7367,14.10266667,268.306,73642
cifar10_resnet110_async_use_fp16,1,55.9651,207.9723,276.322,4.531,277.478,34373
cifar10_resnet110_async_use_fp16,2,52.0466,226.9362,277.7261,16.32844444,288.1872,34420
cifar10_resnet110_async_winograd,1,42.2729,194.3015,257.2275,4.166666667,258.7654,62905
cifar10_resnet110_async_winograd,2,51.6959,200.5096,264.943,10.143,271.6583,62836
cifar10_resnet110_async_xla,1,44.8367,199.3149,261.7056,6.661888889,265.1153,62992
cifar10_resnet110_async_xla,2,48.6395,195.2852,250.2738,12.27966667,258.6359,62751
cifar10_resnet110_sync_batch128,1,49.9018,234.153,304.1088,3.837333333,306.3231,64683
cifar10_resnet110_sync_batch128,2,46.9165,190.6453,253.7666,54.27622222,270.6809,64297
cifar10_resnet110_sync_batch256,1,57.4927,241.516,316.5964,4.364777778,317.6116,64813
cifar10_resnet110_sync_batch256,2,62.7044,207.1087,240.1802,79.62266667,280.6634,65174
cifar10_resnet110_sync_batch32,1,54.1829,232.839,305.2285,4.333888889,307.6065,64391
cifar10_resnet110_sync_batch32,2,48.9516,213.4956,279.0037,30.19888889,282.8355,64108
cifar10_resnet110_sync_batch512,1,47.4606,302.7599,378.9666,3.892444444,380.306,66597
cifar10_resnet110_sync_batch512,2,53.8957,311.8404,276.6744,108.1468889,378.4202,66642
cifar10_resnet110_sync_batch64,1,55.2182,234.3556,297.54,4.038888889,299.7287,64388
cifar10_resnet110_sync_batch64,2,66.0999,195.3275,272.3257,29.88288889,285.8744,64319
cifar10_resnet110_sync_dataFormat,1,58.487,219.5797,300.9562,5.194777778,302.9257,33826
cifar10_resnet110_sync_dataFormat,2,54.0122,198.5941,270.4563,38.24555556,281.7825,33819
cifar10_resnet110_sync_optMomentum,1,57.5169,270.8976,291.8908,4.550555556,294.7518,69685
cifar10_resnet110_sync_optMomentum,2,64.2244,237.2844,249.4293,48.71211111,267.599,69630
cifar10_resnet110_sync_optRmsprop,1,49.5945,273.6534,289.1146,4.909333333,290.9203,75067
cifar10_resnet110_sync_optRmsprop,2,49.1287,263.2482,278.3799,16.60233333,282.8439,74660
cifar10_resnet110_sync_use_fp16,1,51.8913,214.7221,315.9573,4.140111111,317.6661,66369
cifar10_resnet110_sync_use_fp16,2,60.3933,222.4953,280.8098,41.91711111,305.759,65949
cifar10_resnet110_sync_winograd,1,46.1886,214.8895,278.0621,6.161333333,281.7162,64270
