Model,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms),GPU_Memory(MB)
cifar10_densenet100_k24_sync_winograd,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_sync_winograd,2,0,0,0,0,0,0,17028.9375
cifar10_densenet100_k24_sync_xla,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_sync_xla,2,0,0,0,0,0,0,17028.9375
cifar10_densenet40_k12_async_batch128,1,0,0,0,0,0,0,2757.0
cifar10_densenet40_k12_async_batch128,2,0,0,0,0,0,0,2756.9375
cifar10_densenet40_k12_async_batch256,1,0,0,0,0,0,0,4871.0
cifar10_densenet40_k12_async_batch256,2,0,0,0,0,0,0,4870.9375
cifar10_densenet40_k12_async_batch32,1,0,0,0,0,0,0,1173.0
cifar10_densenet40_k12_async_batch32,2,0,0,0,0,0,0,1172.9375
cifar10_densenet40_k12_async_batch512,1,0,0,0,0,0,0,9095.0
cifar10_densenet40_k12_async_batch512,2,0,0,0,0,0,0,9094.9375
cifar10_densenet40_k12_async_batch64,1,0,0,0,0,0,0,1701.0
cifar10_densenet40_k12_async_batch64,2,0,0,0,0,0,0,1700.9375
cifar10_densenet40_k12_async_dataFormat,1,0,0,0,0,0,0,1701.0
cifar10_densenet40_k12_async_dataFormat,2,0,0,0,0,0,0,1700.9375
cifar10_densenet40_k12_async_optMomentum,1,0,0,0,0,0,0,1701.0
cifar10_densenet40_k12_async_optMomentum,2,0,0,0,0,0,0,1700.9375
cifar10_densenet40_k12_async_optRmsprop,1,0,0,0,0,0,0,1701.0
cifar10_densenet40_k12_async_optRmsprop,2,0,0,0,0,0,0,1700.9375
cifar10_densenet40_k12_async_use_fp16,1,0,0,0,0,0,0,1621.0
cifar10_densenet40_k12_async_use_fp16,2,0,0,0,0,0,0,1620.9375
cifar10_densenet40_k12_async_winograd,1,0,0,0,0,0,0,1701.0
cifar10_densenet40_k12_async_winograd,2,0,0,0,0,0,0,1700.9375
cifar10_densenet40_k12_async_xla,1,0,0,0,0,0,0,1701.0
cifar10_densenet40_k12_async_xla,2,0,0,0,0,0,0,1700.9375
cifar10_densenet40_k12_sync_batch128,1,0,0,0,0,0,0,2757.0
cifar10_densenet40_k12_sync_batch128,2,0,0,0,0,0,0,2756.9375
cifar10_densenet40_k12_sync_batch256,1,0,0,0,0,0,0,4879.0
cifar10_densenet40_k12_sync_batch256,2,0,0,0,0,0,0,4878.9375
cifar10_densenet40_k12_sync_batch32,1,0,0,0,0,0,0,1173.0
cifar10_densenet40_k12_sync_batch32,2,0,0,0,0,0,0,1172.9375
cifar10_densenet40_k12_sync_batch512,1,0,0,0,0,0,0,9095.0
cifar10_densenet40_k12_sync_batch512,2,0,0,0,0,0,0,9094.9375
cifar10_densenet40_k12_sync_batch64,1,0,0,0,0,0,0,1701.0
cifar10_densenet40_k12_sync_batch64,2,0,0,0,0,0,0,1700.9375
cifar10_densenet40_k12_sync_dataFormat,1,0,0,0,0,0,0,1701.0
cifar10_densenet40_k12_sync_dataFormat,2,0,0,0,0,0,0,1700.9375
cifar10_densenet40_k12_sync_optMomentum,1,0,0,0,0,0,0,1701.0
cifar10_densenet40_k12_sync_optMomentum,2,0,0,0,0,0,0,1700.9375
cifar10_densenet40_k12_sync_optRmsprop,1,0,0,0,0,0,0,1701.0
cifar10_densenet40_k12_sync_optRmsprop,2,0,0,0,0,0,0,1700.9375
cifar10_densenet40_k12_sync_use_fp16,1,0,0,0,0,0,0,1621.0
cifar10_densenet40_k12_sync_use_fp16,2,0,0,0,0,0,0,1620.9375
cifar10_densenet40_k12_sync_winograd,1,0,0,0,0,0,0,1701.0
cifar10_densenet40_k12_sync_winograd,2,0,0,0,0,0,0,1700.9375
cifar10_densenet40_k12_sync_xla,1,0,0,0,0,0,0,1701.0
cifar10_densenet40_k12_sync_xla,2,0,0,0,0,0,0,1700.9375
cifar10_resnet110_async_batch128,1,0,0,0,0,0,0,2757.0
cifar10_resnet110_async_batch128,2,0,0,0,0,0,0,2756.9375
cifar10_resnet110_async_batch256,1,0,0,0,0,0,0,4871.0
cifar10_resnet110_async_batch256,2,0,0,0,0,0,0,4870.9375
cifar10_resnet110_async_batch32,1,0,0,0,0,0,0,1157.0
cifar10_resnet110_async_batch32,2,0,0,0,0,0,0,1156.9375
cifar10_resnet110_async_batch512,1,0,0,0,0,0,0,9095.0
cifar10_resnet110_async_batch512,2,0,0,0,0,0,0,9094.9375
cifar10_resnet110_async_batch64,1,0,0,0,0,0,0,1701.0
cifar10_resnet110_async_batch64,2,0,0,0,0,0,0,1668.9375
cifar10_resnet110_async_dataFormat,1,0,0,0,0,0,0,1701.0
cifar10_resnet110_async_dataFormat,2,0,0,0,0,0,0,1700.9375
cifar10_resnet110_async_optMomentum,1,0,0,0,0,0,0,1701.0
