Dataset,Model,syncronization,hyperparameter,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms),GPU_Memory(MB),,,,
cifar10,densenet100k12,sync,optRmsprop,1,68.1629,348.5937,315.87,80.28755556,391.9998,85642,8837,,,,
cifar10,densenet100k12,sync,optRmsprop,2,66.7808,369.5211,302.8301,89.88377778,386.8294,85586,386.9375,,,,
cifar10,densenet100k12,sync,usefp16,1,82.2757,298.2739,361.4256,86.49377778,436.7408,75068,5221,,,,
cifar10,densenet100k12,sync,usefp16,2,68.44,327.1788,384.071,60.70255556,412.823,75311,5220.9375,,,,
cifar10,densenet100k12,sync,winograd,1,63.7986,283.495,309.1564,86.44911111,397.884,71131,8837,,,,
cifar10,densenet100k12,sync,winograd,2,60.8865,319.9543,314.3207,88.64555556,390.1096,71197,8836.9375,,,,
cifar10,densenet100k12,sync,xla,1,60.0926,276.6753,292.8766,83.51977778,371.9618,71563,481,,,,
cifar10,densenet100k12,sync,xla,2,67.174,285.0176,299.3689,75.05411111,367.443,71515,468.9375,,,,
cifar10,densenet100k24,async,batch128,1,209.368,754.7171,550.3742,276.0275556,830.8393,87529,387,,,,
cifar10,densenet100k24,async,batch128,2,273.037,850.0426,481.1635,453.0776667,918.8991,87057,386.9375,,,,
cifar10,densenet100k24,async,batch32,1,110.1955,279.1816,344.3511,18.44244444,364.8023,71310,387,,,,
cifar10,densenet100k24,async,batch32,2,126.3125,310.206,312.4698,76.917,387.3151,71194,386.9375,,,,
cifar10,densenet100k24,async,batch64,1,176.2673,445.9037,401.5287,136.5316667,523.3218,75578,389,,,,
cifar10,densenet100k24,async,batch64,2,145.9926,453.9249,344.0226,205.0162222,543.8482,75428,386.9375,,,,
cifar10,densenet100k24,async,dataFormat,1,115.1148,351.7882,380.8195,32.09288889,417.7347,43480,387,,,,
cifar10,densenet100k24,async,dataFormat,2,131.2591,362.9909,325.0492,119.1495556,443.559,43624,386.9375,,,,
cifar10,densenet100k24,async,optMomentum,1,158.491,481.5213,396.9202,96.93377778,496.9161,82931,387,,,,
cifar10,densenet100k24,async,optMomentum,2,109.644,512.0547,350.0689,183.1982222,525.2623,82599,386.9375,,,,
cifar10,densenet100k24,async,optRmsprop,1,152.2447,480.3891,396.4387,114.4402222,496.4869,89743,17029,,,,
cifar10,densenet100k24,async,optRmsprop,2,137.3967,541.184,366.3934,214.6075556,569.8246,89354,17028.9375,,,,
cifar10,densenet100k24,async,usefp16,1,105.8334,378.5307,408.4416,57.58433333,457.4996,78485,0,,,,
cifar10,densenet100k24,async,usefp16,2,133.4216,419.8661,372.6721,107.1497778,478.323,78252,0,,,,
cifar10,densenet100k24,async,winograd,1,116.4476,410.1957,384.5541,110.7455556,495.8457,46126,17029,,,,
cifar10,densenet100k24,async,winograd,2,113.6716,479.0398,339.7656,197.3704444,545.033,46068,17028.9375,,,,
cifar10,densenet100k24,async,xla,1,140.125,422.6936,451.3069,59.20444444,501.938,74983,0,,,,
cifar10,densenet100k24,async,xla,2,131.204,435.7136,337.0953,186.9571111,524.1443,74982,0,,,,
