Model,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms),GPU_Memory(MB)
cifar10_resnet110_async_optMomentum,2,-1E+13,-1E+13,291.7832,15.91722222,301.0427,69014,386.9375
cifar10_resnet110_async_optRmsprop,1,-1E+13,-1E+13,260.8593,9.704666667,266.309,73741,0
cifar10_resnet110_async_optRmsprop,2,-1E+13,-1E+13,258.7367,14.10266667,268.306,73642,0
cifar10_resnet110_async_use_fp16,1,-1E+13,-1E+13,275.0156,5.792555556,277.478,34373,387
cifar10_resnet110_async_use_fp16,2,-1E+13,-1E+13,277.7261,16.32844444,288.1872,34420,386.9375
cifar10_resnet110_async_winograd,1,-1E+13,-1E+13,253.4355,8.227,258.7654,62905,0
cifar10_resnet110_async_winograd,2,-1E+13,-1E+13,264.943,10.143,271.6583,62836,0
cifar10_resnet110_async_xla,1,-1E+13,-1E+13,258.7328,9.696444444,265.1153,62992,0
cifar10_resnet110_async_xla,2,-1E+13,-1E+13,250.2738,12.27966667,258.6359,62751,0
cifar10_resnet110_sync_batch128,1,-1E+13,-1E+13,275.8047,35.17011111,306.3231,64683,2757
cifar10_resnet110_sync_batch128,2,-1E+13,-1E+13,253.7666,54.27622222,270.6809,64297,2756.9375
cifar10_resnet110_sync_batch256,1,-1E+13,-1E+13,280.0354,41.82533333,317.6116,64813,387
cifar10_resnet110_sync_batch256,2,-1E+13,-1E+13,240.1802,79.62266667,280.6634,65174,386.9375
cifar10_resnet110_sync_batch32,1,-1E+13,-1E+13,277.404,35.14311111,307.6065,64391,387
cifar10_resnet110_sync_batch32,2,-1E+13,-1E+13,279.0037,30.19888889,282.8355,64108,386.9375
cifar10_resnet110_sync_batch512,1,-1E+13,-1E+13,276.6379,99.48633333,380.306,66597,9095
cifar10_resnet110_sync_batch512,2,-1E+13,-1E+13,276.6744,108.1468889,378.4202,66642,402.9375
cifar10_resnet110_sync_batch64,1,-1E+13,-1E+13,266.8998,37.54344444,299.7287,64388,0
cifar10_resnet110_sync_batch64,2,-1E+13,-1E+13,272.3257,29.88288889,285.8744,64319,0
cifar10_resnet110_sync_dataFormat,1,-1E+13,-1E+13,265.6107,44.28222222,302.9257,33826,1701
cifar10_resnet110_sync_dataFormat,2,-1E+13,-1E+13,270.4563,38.24555556,281.7825,33819,1700.9375
cifar10_resnet110_sync_optMomentum,1,-1E+13,-1E+13,268.2201,30.76166667,294.7518,69685,1701
cifar10_resnet110_sync_optMomentum,2,-1E+13,-1E+13,249.4293,48.71211111,267.599,69630,1668.9375
cifar10_resnet110_sync_optRmsprop,1,-1E+13,-1E+13,240.7378,53.38788889,290.9203,75067,1701
cifar10_resnet110_sync_optRmsprop,2,-1E+13,-1E+13,278.3799,16.60233333,282.8439,74660,1700.9375
cifar10_resnet110_sync_use_fp16,1,-1E+13,-1E+13,279.5243,33.72911111,317.6661,66369,387
cifar10_resnet110_sync_use_fp16,2,-1E+13,-1E+13,280.8098,41.91711111,305.759,65949,386.9375
cifar10_resnet110_sync_winograd,1,-1E+13,-1E+13,242.4175,44.42533333,281.7162,64270,1669
cifar10_resnet110_sync_winograd,2,-1E+13,-1E+13,259.595,23.63766667,267.9013,64207,1668.9375
cifar10_resnet110_sync_xla,1,-1E+13,-1E+13,271.2763,30.333,295.8296,64441,387
cifar10_resnet110_sync_xla,2,-1E+13,-1E+13,257.4988,42.32344444,269.6278,64336,386.9375
cifar10_resnet110_v2_async_batch128,1,-1E+13,-1E+13,257.0487,11.07422222,265.1158,62081,387
cifar10_resnet110_v2_async_batch128,2,-1E+13,-1E+13,232.78,24.28088889,252.2361,62020,386.9375
cifar10_resnet110_v2_async_batch256,1,-1E+13,-1E+13,240.1777,32.29855556,269.4282,62156,387
cifar10_resnet110_v2_async_batch256,2,-1E+13,-1E+13,239.1745,42.17266667,275.9958,62142,386.9375
cifar10_resnet110_v2_async_batch32,1,-1E+13,-1E+13,254.8022,8.476777778,260.1731,60946,1157
cifar10_resnet110_v2_async_batch32,2,-1E+13,-1E+13,231.1511,11.17488889,236.6459,60889,1156.9375
cifar10_resnet110_v2_async_batch512,1,-1E+13,-1E+13,255.7478,86.04166667,342.1412,64462,9095
cifar10_resnet110_v2_async_batch512,2,-1E+13,-1E+13,233.5224,155.2906667,377.1649,64086,9094.9375
cifar10_resnet110_v2_async_batch64,1,-1E+13,-1E+13,239.5348,6.405777778,243.708,61430,389
cifar10_resnet110_v2_async_batch64,2,-1E+13,-1E+13,252.864,14.50955556,263.1284,61279,388.9375
cifar10_resnet110_v2_async_dataFormat,1,-1E+13,-1E+13,242.8003,9.835666667,248.7909,61260,1701
cifar10_resnet110_v2_async_dataFormat,2,-1E+13,-1E+13,221.5478,17.12466667,234.5014,60855,1700.9375
cifar10_resnet110_v2_async_optMomentum,1,-1E+13,-1E+13,209.2876,7.251333333,213.7771,35910,0
cifar10_resnet110_v2_async_optMomentum,2,-1E+13,-1E+13,224.4483,19.31733333,236.2136,35909,0
cifar10_resnet110_v2_async_optRmsprop,1,-1E+13,-1E+13,237.3507,7.183,241.0606,39950,387
cifar10_resnet110_v2_async_optRmsprop,2,-1E+13,-1E+13,262.0368,11.947,269.1811,39898,386.9375
cifar10_resnet110_v2_async_use_fp16,1,-1E+13,-1E+13,257.0729,6.393777778,261.3869,33359,1189
cifar10_resnet110_v2_async_use_fp16,2,-1E+13,-1E+13,282.0036,13.58488889,291.6654,33300,610.9375
cifar10_resnet110_v2_async_winograd,1,-1E+13,-1E+13,228.5806,6.89,233.0319,60982,1701
cifar10_resnet110_v2_async_winograd,2,-1E+13,-1E+13,217.5506,17.47244444,228.7668,60980,1700.9375
cifar10_resnet110_v2_async_xla,1,-1E+13,-1E+13,233.9919,9.042666667,240.9832,61847,0
cifar10_resnet110_v2_async_xla,2,-1E+13,-1E+13,219.65,9.734888889,223.8581,61845,0
cifar10_resnet110_v2_sync_batch128,1,-1E+13,-1E+13,217.5708,43.69244444,254.8968,32007,387
cifar10_resnet110_v2_sync_batch128,2,-1E+13,-1E+13,241.1119,11.49155556,245.6,31443,386.9375
cifar10_resnet110_v2_sync_batch256,1,-1E+13,-1E+13,225.8308,77.48222222,300.8135,63471,4871
cifar10_resnet110_v2_sync_batch256,2,-1E+13,-1E+13,261.6185,43.55044444,295.992,63419,406.9375
cifar10_resnet110_v2_sync_batch32,1,-1E+13,-1E+13,246.1912,32.01144444,279.112,32164,1157
cifar10_resnet110_v2_sync_batch32,2,-1E+13,-1E+13,240.2796,44.31977778,246.2338,32199,1156.9375
cifar10_resnet110_v2_sync_batch512,1,-1E+13,-1E+13,256.6768,116.7838889,371.0314,64594,387
cifar10_resnet110_v2_sync_batch512,2,-1E+13,-1E+13,245.697,124.8308889,369.1976,64581,386.9375
cifar10_resnet110_v2_sync_batch64,1,-1E+13,-1E+13,248.8149,20.48644444,267.5089,62128,1669
cifar10_resnet110_v2_sync_batch64,2,-1E+13,-1E+13,218.6195,56.94855556,224.7287,61834,1700.9375
cifar10_resnet110_v2_sync_dataFormat,1,-1E+13,-1E+13,228.4924,27.99555556,252.3467,61739,0
cifar10_resnet110_v2_sync_dataFormat,2,-1E+13,-1E+13,234.0334,17.64644444,236.5227,61591,0
cifar10_resnet110_v2_sync_optMomentum,1,-1E+13,-1E+13,208.9424,49.52244444,256.4418,66298,387
cifar10_resnet110_v2_sync_optMomentum,2,-1E+13,-1E+13,239.1589,21.10122222,248.0161,66343,386.9375
cifar10_resnet110_v2_sync_optRmsprop,1,-1E+13,-1E+13,235.9642,46.34211111,275.7936,40041,477
cifar10_resnet110_v2_sync_optRmsprop,2,-1E+13,-1E+13,238.079,41.28555556,249.9619,39966,386.9375
cifar10_resnet110_v2_sync_use_fp16,1,-1E+13,-1E+13,276.0676,8.424555556,281.3694,65158,29
cifar10_resnet110_v2_sync_use_fp16,2,-1E+13,-1E+13,221.7546,50.97355556,226.9873,65048,30.9375
